Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,Gamma,k,max_depth,max_leaf_nodes,min_sample_leaf,min_sample_split,smoothing,test_score,training_score,version,priority
2023-08-14 20:07:30,0.7s,9c0544c293d3443f8152f65c7c3df97b,CHILD MAX_DEPTH 4,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,5,4,,0.8425,0.82265625,,
2023-08-14 20:07:29,0.8s,66dcbad1e39d468da62a5e69dc668e47,CHILD MAX_DEPTH 4,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,4,4,,0.844375,0.8221875000000001,,
2023-08-14 20:07:28,0.8s,0b595e5991434ff2835a454a535d82fd,CHILD MAX_DEPTH 4,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,3,4,,0.84625,0.82875,,
2023-08-14 20:07:27,0.8s,6703384a00dc4fbca0e34c30dfa0d884,CHILD MAX_DEPTH 4,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,2,4,,0.845,0.8285937500000001,,
2023-08-14 20:07:26,0.8s,1adaaeb217984aa59eb9cfd5d0791490,CHILD MAX_DEPTH 4,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,1,4,,0.84125,0.8278125,,
2023-08-14 20:07:26,0.8s,2a2dc273bff0424d9ab734037d4239eb,CHILD MAX_DEPTH 3,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,5,3,,0.8425,0.82265625,,
2023-08-14 20:07:25,0.7s,0410c24d741249ceb928696efe769400,CHILD MAX_DEPTH 3,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,4,3,,0.844375,0.8221875000000001,,
2023-08-14 20:07:24,0.8s,f22939cadbbd4e4db2f2a81e8339d562,CHILD MAX_DEPTH 3,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,3,3,,0.84625,0.82875,,
2023-08-14 20:07:23,0.8s,c7d7190aeb42476887cd1720a7d19772,CHILD MAX_DEPTH 3,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,2,3,,0.845,0.8285937500000001,,
2023-08-14 20:07:22,0.8s,2f06bb85258b4212b414afcbe133b8e0,CHILD MAX_DEPTH 3,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,1,3,,0.846875,0.83140625,,
2023-08-14 20:07:22,0.7s,eb8b882febb644c58ce1c3ea21b5d454,CHILD MAX_DEPTH 2,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,5,2,,0.8425,0.82265625,,
2023-08-14 20:07:21,0.8s,cf3ad69bd3fd4fb499de82cab4e000e1,CHILD MAX_DEPTH 2,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,4,2,,0.844375,0.8221875000000001,,
2023-08-14 20:07:20,0.8s,d63dd95b4fb34380aa65e0a10aff4d4b,CHILD MAX_DEPTH 2,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,3,2,,0.84625,0.82875,,
2023-08-14 20:07:19,0.8s,a1667a3fd1a1462c8514feb6d36d66d3,CHILD MAX_DEPTH 2,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,20,Unlimited,2,2,,0.845,0.8285937500000001,,
