User,Session,Sequence,H.Period,UD.period.t,H.t,UD.t.i,H.i,UD.i.e,H.e,UD.e.five,H.five,UD.five.Shift.r,H.Shift.r,UD.Shift.r.o,H.o,UD.o.a,H.a,UD.a.n,H.n,UD.n.l,H.l,UD.l.Return,H.Return
Allen,SS202308119101,0,102,208,51,79,82,79,122,147,94,379,91,140,95,-4,112,46,81,141,81,110,61
Allen,SS202308119101,1,111,168,61,100,91,50,91,188,81,301,89,120,71,90,101,60,78,162,71,140,68
Allen,SS202308119101,2,111,120,71,57,81,100,102,361,101,339,101,70,114,-3,128,30,71,161,81,137,41
Allen,SS202308119101,3,111,117,102,50,92,110,111,210,81,258,92,49,92,90,131,3,85,142,92,110,98
Allen,SS202308119101,4,132,151,81,90,99,140,82,289,132,288,92,90,91,50,91,30,68,162,89,111,71
Allen,SS202308119101,5,152,127,101,111,81,150,109,164,79,269,82,108,91,90,119,49,72,180,81,158,51
Allen,SS202308119101,6,118,71,115,76,61,86,112,161,102,309,111,110,71,128,173,101,94,174,82,140,51
Allen,SS202308119101,7,121,50,101,40,81,97,101,110,82,258,101,131,91,80,148,-20,92,140,102,117,81
Allen,SS202308119101,8,132,120,88,100,91,100,102,127,91,273,118,90,71,80,103,39,61,138,71,120,71
Allen,SS202308119101,9,113,60,81,60,81,67,111,121,91,268,81,90,92,59,109,29,93,210,92,168,71
Allen,SS202308119101,10,138,101,92,70,114,-4,109,130,122,248,113,60,81,30,131,20,78,140,81,111,41
Allen,SS202308119101,11,121,192,98,80,103,59,102,138,102,281,108,161,81,50,91,80,78,150,92,160,68
Allen,SS202308119101,12,111,20,98,90,71,60,111,117,82,251,91,127,83,100,101,61,88,171,81,140,119
Allen,SS202308119101,13,111,30,101,40,78,40,112,121,101,339,131,127,82,49,113,70,91,148,81,130,61
Allen,SS202308119101,14,152,177,92,80,101,29,102,147,91,282,108,100,112,39,102,77,81,141,72,218,152
Allen,SS202308119101,15,128,30,111,80,85,-4,111,117,103,241,98,90,92,50,91,49,90,162,61,140,61
Allen,SS202308119101,16,119,39,102,49,81,90,89,130,71,299,101,110,81,50,101,57,81,162,91,158,91
Allen,SS202308119101,17,142,100,91,70,112,-3,112,130,92,248,101,90,91,30,108,101,61,151,91,97,112
Allen,SS202308119101,18,143,128,102,80,101,40,131,108,91,272,98,90,101,20,121,30,71,147,74,120,81
