User,Session,Sequence,H.Period,UD.period.t,H.t,UD.t.i,H.i,UD.i.e,H.e,UD.e.five,H.five,UD.five.Shift.r,H.Shift.r,UD.Shift.r.o,H.o,UD.o.a,H.a,UD.o.n,H.n,UD.n.l,H.l,UD.l.Return,H.Return
Allen,SS202308718227,0,102,292,85,100,81,70,111,345,92,253,112,59,82,70,115,19,72,170,71,134,61
Allen,SS202308718227,1,74,202,91,60,71,67,77,150,92,304,91,121,81,31,128,17,70,153,75,118,61
Allen,SS202308718227,2,92,262,69,155,71,150,81,174,71,332,94,333,71,56,118,70,71,154,58,133,71
Allen,SS202308718227,3,111,150,75,80,71,150,71,224,91,327,101,121,94,-4,132,63,71,160,61,151,75
Allen,SS202308718227,4,81,171,92,93,81,80,101,131,94,272,91,60,84,40,122,29,81,170,45,180,66
Allen,SS202308718227,5,95,160,82,165,49,30,91,163,97,267,90,60,81,30,115,39,71,181,51,195,60
Allen,SS202308718227,6,111,121,71,70,64,141,91,140,112,294,92,143,81,60,111,80,61,194,71,193,81
Allen,SS202308718227,7,101,194,102,70,71,93,91,221,102,325,81,255,71,80,101,120,74,191,61,141,52
Allen,SS202308718227,8,121,201,104,40,71,160,82,183,102,334,92,231,94,-3,114,90,71,170,82,133,51
Allen,SS202308718227,9,124,161,101,80,81,113,102,170,102,274,121,121,84,29,102,100,71,174,61,231,71
Allen,SS202308718227,10,123,153,101,70,71,50,122,174,112,291,115,120,71,60,111,93,81,201,51,204,62
Allen,SS202308718227,11,101,155,81,60,81,150,105,311,112,295,101,80,81,32,112,120,71,185,62,178,61
Allen,SS202308718227,12,115,251,102,90,74,90,112,191,104,332,91,173,72,132,109,30,64,160,51,161,61
Allen,SS202308718227,13,122,120,81,70,74,80,102,131,101,285,101,100,74,60,111,40,81,181,64,150,62
Allen,SS202308718227,14,92,39,91,81,64,70,92,131,101,244,102,69,92,70,114,30,71,160,51,761,101
Allen,SS202308718227,15,101,122,82,49,76,160,71,131,94,382,101,83,71,50,101,121,81,205,61,170,51
Allen,SS202308718227,16,82,120,91,80,71,44,115,177,111,295,102,149,85,39,102,111,81,214,51,331,54
Allen,SS202308718227,17,81,134,91,70,81,40,92,142,102,356,131,120,82,19,101,43,81,181,51,294,61
Allen,SS202308718227,18,111,356,111,-20,101,143,102,261,114,272,111,3,78,83,111,40,81,170,54,332,91
Allen,SS202308718227,19,101,90,84,70,81,40,101,140,105,281,112,62,82,20,111,49,92,164,71,142,71
Allen,SS202308718227,20,91,20,91,74,61,150,82,130,94,291,102,49,75,39,113,59,82,153,71,161,41
Allen,SS202308718227,21,102,80,101,60,71,29,115,181,91,1157,205,121,71,19,125,170,132,195,121,252,125
Allen,SS202308718227,22,131,70,101,71,84,40,91,131,101,264,122,30,101,29,115,60,81,170,61,174,61
Allen,SS202308718227,23,112,112,80,63,81,39,92,130,101,265,91,60,81,53,122,30,81,162,70,163,71
Allen,SS202308718227,24,132,50,91,40,81,49,106,140,102,234,101,29,82,59,112,60,64,160,71,161,51
Allen,SS202308718227,25,142,93,92,39,81,140,105,160,101,255,121,81,91,100,105,19,81,161,71,194,61
Allen,SS202308718227,26,112,49,82,59,85,69,102,141,112,284,111,80,95,29,122,70,91,170,75,160,71
Allen,SS202308718227,27,132,261,104,-31,122,91,111,122,103,251,111,50,104,70,152,3,78,163,51,332,74
Allen,SS202308718227,28,142,123,81,50,81,191,114,172,91,254,101,51,80,60,125,19,81,141,81,175,61
Allen,SS202308718227,29,142,93,101,60,91,161,104,130,112,254,101,40,91,110,135,3,78,160,81,234,61
Allen,SS202308718227,30,162,100,103,29,81,194,92,201,94,362,165,69,93,19,112,19,81,144,71,140,61
Allen,SS202308718227,31,125,251,101,3,78,173,92,334,112,242,124,241,95,-4,125,29,81,171,61,163,51
Allen,SS202308718227,32,142,123,91,30,101,194,81,261,112,375,101,50,75,50,121,30,81,174,81,231,61
Allen,SS202308718227,33,114,40,111,50,71,161,94,150,102,294,121,142,81,30,104,100,91,171,74,221,51
Allen,SS202308718227,34,102,120,125,19,71,131,101,153,102,336,101,80,81,50,91,70,84,193,70,214,61
Allen,SS202308718227,35,92,140,91,33,61,130,92,190,115,362,104,120,81,60,101,30,74,171,61,191,51
Allen,SS202308718227,36,111,204,91,30,81,204,101,312,124,353,95,19,81,70,101,50,72,163,51,180,51
Allen,SS202308718227,37,102,140,74,60,82,70,121,194,112,282,134,70,92,39,112,49,86,170,51,221,54
Allen,SS202308718227,38,124,60,91,40,71,171,94,191,111,254,122,50,91,70,114,20,81,190,62,203,61
Allen,SS202308718227,39,126,120,92,29,82,140,94,261,122,264,122,3,78,103,122,3,67,161,61,184,40
Allen,SS202308718227,40,111,80,91,50,74,171,91,161,124,271,122,43,91,39,133,40,71,163,61,201,62
Allen,SS202308718227,41,122,435,112,61,91,153,82,241,111,284,123,80,94,20,121,60,83,169,64,242,61
Allen,SS202308718227,42,121,143,92,60,71,150,92,213,133,264,112,2,78,120,125,3,67,182,61,214,61
Allen,SS202308718227,43,102,123,91,40,81,181,94,151,122,264,102,19,81,90,122,3,70,171,72,244,61
Allen,SS202308718227,44,111,83,101,40,81,171,94,211,111,265,101,19,102,60,114,19,82,150,81,184,51
Allen,SS202308718227,45,111,90,111,20,81,103,101,241,105,261,101,3,78,114,101,3,68,150,82,224,52
Allen,SS202308718227,46,112,90,94,70,93,141,101,174,101,261,105,3,68,100,112,3,78,173,61,231,61
Allen,SS202308718227,47,94,120,102,29,61,151,104,211,112,255,121,3,88,100,116,-21,81,160,71,224,71
Allen,SS202308718227,48,114,121,121,39,82,153,91,282,125,292,124,3,68,80,101,29,92,163,51,232,51
Allen,SS202308718227,49,122,141,111,33,81,120,102,244,91,466,101,29,92,39,112,93,71,152,61,204,41
Allen,SS202308718227,50,102,130,101,60,74,20,132,170,91,264,102,80,91,43,101,30,92,150,61,214,51

