Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,Gamma,k,max_depth,max_leaf_nodes,smoothing,test_score,training_score,priority,version
2023-08-06 22:07:56,27.7s,27d0db5031b54e43b7e8226272ce8ff1,"CHILD C = 100, GAMMA =5",LOCAL,/usr/lib/python3/dist-packages/ipykernel_launcher.py,sokonana,FINISHED,100,5,,,,,0.278125,0.285625,,
2023-08-06 22:07:30,26.3s,114cac6033564002971d7d24ac07ed20,"CHILD C = 100, GAMMA =1",LOCAL,/usr/lib/python3/dist-packages/ipykernel_launcher.py,sokonana,FINISHED,100,1,,,,,0.69625,0.6721875,,
2023-08-06 22:07:23,6.7s,b86d9493303e46bbb2fddeaaa4ec1b1d,"CHILD C = 100, GAMMA =0.1",LOCAL,/usr/lib/python3/dist-packages/ipykernel_launcher.py,sokonana,FINISHED,100,0.1,,,,,0.928125,0.9299999999999999,,
2023-08-06 22:07:20,3.4s,c725cb46b2e14eb881038b1e6daf07ae,"CHILD C = 100, GAMMA =0.01",LOCAL,/usr/lib/python3/dist-packages/ipykernel_launcher.py,sokonana,FINISHED,100,0.01,,,,,0.9275,0.9237500000000001,,
2023-08-06 22:06:52,27.9s,e73a6f79dfff430e8b727a64ecdd66f2,"CHILD C = 10, GAMMA =5",LOCAL,/usr/lib/python3/dist-packages/ipykernel_launcher.py,sokonana,FINISHED,10,5,,,,,0.278125,0.285625,,
2023-08-06 22:06:26,26.3s,8dc59358556f4a0289ae9b20b1082740,"CHILD C = 10, GAMMA =1",LOCAL,/usr/lib/python3/dist-packages/ipykernel_launcher.py,sokonana,FINISHED,10,1,,,,,0.69625,0.6721875,,
2023-08-06 22:06:19,6.7s,131edf5c43584940b6c73c2e11f039a7,"CHILD C = 10, GAMMA =0.1",LOCAL,/usr/lib/python3/dist-packages/ipykernel_launcher.py,sokonana,FINISHED,10,0.1,,,,,0.93,0.9301562499999999,,
2023-08-06 22:06:16,3.5s,dfb1a6fc154c44b789bd39fbfd6d6db7,"CHILD C = 10, GAMMA =0.01",LOCAL,/usr/lib/python3/dist-packages/ipykernel_launcher.py,sokonana,FINISHED,10,0.01,,,,,0.92375,0.9221875,,
2023-08-06 22:05:48,28.1s,f2bdf4d702fb402991fb77778428b495,"CHILD C = 1, GAMMA =5",LOCAL,/usr/lib/python3/dist-packages/ipykernel_launcher.py,sokonana,FINISHED,1,5,,,,,0.248125,0.2584375,,
2023-08-06 22:05:22,25.5s,9e02a7249fbf443395fe94e0bf1dfb39,"CHILD C = 1, GAMMA =1",LOCAL,/usr/lib/python3/dist-packages/ipykernel_launcher.py,sokonana,FINISHED,1,1,,,,,0.67625,0.64640625,,
2023-08-06 22:05:15,6.7s,75dd35599d154adaa27c88b4146126af,"CHILD C = 1, GAMMA =0.1",LOCAL,/usr/lib/python3/dist-packages/ipykernel_launcher.py,sokonana,FINISHED,1,0.1,,,,,0.93125,0.92484375,,
2023-08-06 22:05:10,5.4s,18fb321c444648089c74766f44c7f149,"CHILD C = 1, GAMMA =0.01",LOCAL,/usr/lib/python3/dist-packages/ipykernel_launcher.py,sokonana,FINISHED,1,0.01,,,,,0.905625,0.9082812500000002,,
