H.period,UD.period.t,H.t,UD.t.i,H.i,UD.i.e,H.e,UD.e.five,H.five,UD.five.Shift.r,H.Shift.r,UD.Shift.r.o,H.o,UD.o.a,H.a,UD.a.n,H.n,UD.n.l,H.l,UD.l.Return,H.Return
0.131,0.131,0.091,0.063,0.091,0.1,0.101,0.161,0.115,0.321,0.135,0.003,0.088,0.09,0.132,0.003,0.077,0.154,0.071,0.13,0.071
0.131,0.134,0.082,0.07,0.071,0.019,0.091,0.144,0.071,0.342,0.084,0.13,0.082,0.059,0.112,0.08,0.074,0.18,0.072,0.181,0.073
0.121,0.115,0.081,0.07,0.071,0.019,0.091,0.265,0.101,0.347,0.091,0.121,0.08,0.06,0.125,0.06,0.062,0.17,0.062,0.193,0.071
0.121,0.13,0.092,0.073,0.081,0.029,0.081,0.191,0.124,0.292,0.112,0.123,0.081,0.08,0.111,0.07,0.071,0.164,0.081,0.09,0.081
0.122,0.09,0.091,0.063,0.081,0.04,0.101,0.161,0.095,0.312,0.113,0.144,0.09,0.05,0.111,0.03,0.082,0.143,0.051,0.15,0.051
0.111,0.081,0.094,0.069,0.062,0.14,0.071,0.133,0.093,0.271,0.101,0.073,0.081,0.06,0.112,0.029,0.071,0.165,0.051,0.141,0.051
0.114,0.442,0.095,0.02,0.101,0.11,0.081,0.215,0.152,0.305,0.101,0.02,0.081,0.07,0.142,0.003,0.06,0.151,0.071,0.11,0.061
0.142,0.1,0.094,0.08,0.061,0.06,0.072,0.139,0.074,0.282,0.081,0.05,0.074,0.051,0.111,0.03,0.071,0.171,0.063,0.171,0.051
0.142,0.1,0.094,0.08,0.061,0.06,0.072,0.139,0.074,0.282,0.081,0.05,0.074,0.051,0.111,0.03,0.071,0.171,0.063,0.698,0.131
0.081,0.1,0.081,0.04,0.072,0.063,0.08,0.111,0.072,0.294,0.081,0.04,0.071,0.07,0.101,0.053,0.071,0.151,0.061,0.15,0.064
0.132,0.062,0.092,0.07,0.081,0.05,0.071,0.12,0.084,0.312,0.091,0.083,0.081,0.04,0.121,0.003,0.078,0.143,0.071,0.1,0.062
